Transcript stable ID version	Chromosome/scaffold name	Strand	Transcription start site (TSS)
ENST00000369151.8	10	-1	118754970
ENST00000285737.9	16	1	48244300
ENST00000349736.10	20	-1	543792
ENST00000398970.5	17	-1	1456223
ENST00000300574.3	17	-1	1456232
ENST00000286428.7	X	1	155216460
ENST00000261601.8	18	1	158557
ENST00000262394.7	17	1	27294114
ENST00000275603.9	7	1	56051765
ENST00000556603.6	14	-1	93115871
ENST00000230640.10	5	1	55307989
ENST00000247026.10	17	1	30116816
ENST00000298894.5	14	-1	93184897
ENST00000283534.4	14	1	93184951
ENST00000248879.8	22	-1	20320060
ENST00000557342.6	14	1	77708103
ENST00000324679.5	14	-1	50668306
ENST00000371917.5	20	1	48921711
ENST00000348462.6	9	-1	124861957
ENST00000375991.9	9	-1	86282538
ENST00000334220.9	14	1	74881916
ENST00000419869.7	12	1	15882387
ENST00000287957.5	7	1	92447482
ENST00000258198.7	16	-1	66751609
ENST00000301463.9	12	-1	53079390
ENST00000393600.8	X	1	154444141
ENST00000369660.9	X	-1	154486615
ENST00000317204.11	11	-1	1309632
ENST00000023939.8	20	1	56468585
ENST00000371142.9	10	-1	96587012
ENST00000303575.9	14	-1	75176612
ENST00000399568.5	22	-1	19447692
ENST00000399562.9	22	-1	19447711
ENST00000230449.9	6	-1	693139
ENST00000399312.3	21	1	34073578
ENST00000341423.10	13	-1	30465936
ENST00000399489.5	13	-1	30464247
ENST00000399494.5	13	-1	30465242
ENST00000326004.4	13	-1	30465938
ENST00000255304.9	13	1	30617920
ENST00000269143.8	18	-1	12377227
ENST00000282344.11	13	-1	27171811
ENST00000381140.10	13	1	27424619
ENST00000265070.7	5	-1	32174319
ENST00000514387.6	5	1	57174049
ENST00000506184.7	5	1	57174059
ENST00000282892.4	12	1	27022558
ENST00000264389.7	4	1	83035183
ENST00000305978.7	20	-1	35954502
ENST00000373991.3	20	-1	35959472
ENST00000555619.6	14	-1	74493305
ENST00000238633.6	14	-1	74493291
ENST00000285298.9	7	1	55951877
ENST00000296424.9	4	-1	103099834
ENST00000225737.11	17	-1	19977828
ENST00000368865.9	10	1	123154402
ENST00000368858.9	10	1	123154415
ENST00000470701.1	22	1	37953727
ENST00000302362.11	17	-1	31859244
ENST00000247655.4	5	1	86617941
ENST00000371588.10	20	-1	50958532
ENST00000290231.11	20	-1	46089962
ENST00000311549.11	13	1	27251558
ENST00000272274.9	13	1	27251579
ENST00000246117.9	19	1	3185930
ENST00000592737.5	19	1	3203797
ENST00000505658.6	17	1	50719603
ENST00000393227.6	17	1	50719599
ENST00000240304.5	17	1	50719603
ENST00000267115.10	12	1	49741557
ENST00000273130.9	3	-1	32570858
ENST00000262144.11	16	-1	74985123
ENST00000285243.7	17	-1	50707914
ENST00000265175.5	4	1	109433815
ENST00000328434.8	17	-1	42798704
ENST00000373335.4	X	1	77899440
ENST00000380445.8	20	1	2840745
ENST00000256015.5	12	-1	92145846
ENST00000503937.5	4	-1	82844460
ENST00000262962.12	19	1	4247080
ENST00000283882.4	16	-1	75433503
ENST00000225298.12	17	1	51260546
ENST00000292123.9	19	1	5623099
ENST00000372994.2	9	1	128160265
ENST00000300452.8	9	1	128322839
ENST00000369937.5	10	-1	102432574
ENST00000369905.9	10	-1	102502712
ENST00000372853.9	9	1	128371374
ENST00000340491.8	20	1	36461747
ENST00000263847.6	11	-1	59615774
ENST00000330029.6	22	1	29767369
ENST00000401406.3	22	1	29767374
ENST00000219252.10	16	1	57462679
ENST00000274813.4	6	-1	49463253
ENST00000373491.3	6	1	37257772
ENST00000316059.7	11	1	58579063
ENST00000327435.11	2	-1	3519531
ENST00000458587.8	X	-1	153724066
ENST00000345046.12	X	-1	153724387
ENST00000244007.7	20	1	41136960
ENST00000400000.7	18	1	9914016
ENST00000340541.4	18	1	9914062
ENST00000447648.7	7	-1	98252232
ENST00000255608.9	19	-1	2015714
ENST00000300146.10	11	-1	59669037
ENST00000371621.5	20	1	50510383
ENST00000370086.8	X	1	153794668
ENST00000380649.8	2	-1	26244632
ENST00000454310.5	7	-1	101211672
ENST00000223127.8	7	-1	101217581
ENST00000353704.3	9	1	35732666
ENST00000378103.7	9	-1	35749228
ENST00000378088.1	9	-1	35738635
ENST00000378078.5	9	1	35749287
ENST00000259667.6	9	-1	35815042
ENST00000356663.8	19	-1	1021123
ENST00000256429.8	18	-1	54224669
ENST00000330133.5	19	1	3762682
ENST00000427569.7	17	-1	42964454
ENST00000262947.8	19	-1	4670342
ENST00000545606.6	12	1	67269358
ENST00000544619.1	12	1	67298972
ENST00000444191.5	X	-1	153954121
ENST00000329251.5	11	-1	62573891
ENST00000215754.8	22	1	23894383
ENST00000392994.7	X	1	101390989
ENST00000553110.8	X	1	101391011
ENST00000316594.6	X	1	101408222
ENST00000371443.6	9	1	137551879
ENST00000216034.6	22	1	38681957
ENST00000300151.5	11	-1	59810778
ENST00000446197.8	14	1	24114777
ENST00000374274.8	X	-1	71068334
ENST00000298585.3	9	-1	137590512
ENST00000372435.10	X	1	107628510
ENST00000378372.8	10	1	14838306
ENST00000456936.4	5	-1	115626036
ENST00000389120.8	9	1	101533853
ENST00000251047.6	18	-1	59359265
ENST00000313601.11	3	1	50236204
ENST00000266027.9	3	1	50230776
ENST00000431446.7	X	-1	136880725
ENST00000320676.11	X	-1	136880725
ENST00000318059.8	16	-1	4351321
ENST00000206451.11	14	1	24136194
ENST00000397292.8	9	-1	26947242
ENST00000309579.7	10	-1	103396466
ENST00000360458.5	X	-1	103688064
ENST00000441076.7	X	-1	103686699
ENST00000560410.5	14	-1	24146605
ENST00000216802.10	14	-1	24146610
ENST00000379487.5	13	1	41061509
ENST00000399292.8	21	1	34375507
ENST00000316999.9	6	1	70667776
ENST00000370455.8	6	1	70667883
ENST00000273047.9	3	1	19947097
ENST00000376227.4	X	1	49235470
ENST00000355296.8	16	1	4425860
ENST00000361983.7	10	1	68988803
ENST00000368494.4	6	1	117675469
ENST00000311806.8	3	1	38165537
ENST00000435041.3	6	-1	89352722
ENST00000232496.5	3	-1	50328223
ENST00000250495.10	14	-1	24232367
ENST00000254480.10	3	-1	47781893
ENST00000265343.10	5	-1	132963634
ENST00000267425.8	14	1	24299850
ENST00000325285.8	9	-1	136944738
ENST00000372833.6	10	1	73782048
ENST00000313843.8	16	1	31033558
ENST00000226225.7	17	1	28335761
ENST00000323927.3	9	-1	137188560
ENST00000322310.10	9	1	137188676
ENST00000343666.6	9	-1	137205648
ENST00000263559.11	10	1	69124178
ENST00000354895.4	16	-1	31094956
ENST00000394975.3	16	-1	31094797
ENST00000343053.6	9	1	137255327
ENST00000262990.9	4	1	141220895
ENST00000394950.7	16	1	31108294
ENST00000219794.11	16	1	31108386
ENST00000348547.7	20	1	35542078
ENST00000585331.6	18	1	12658738
ENST00000590217.5	18	1	12703023
ENST00000219797.9	16	1	31117664
ENST00000234301.3	2	-1	42361217
ENST00000371674.8	20	-1	50113150
ENST00000215730.12	22	1	20859007
ENST00000249356.4	7	1	108569874
ENST00000354336.8	22	1	20917407
ENST00000411912.5	2	-1	61241614
ENST00000436269.1	2	-1	61204330
ENST00000421807.7	17	-1	1516612
ENST00000240079.11	12	-1	102061991
ENST00000373232.8	10	-1	70233429
ENST00000479870.6	7	-1	143902176
ENST00000354725.8	7	1	127652194
ENST00000369023.8	10	-1	121975217
ENST00000361198.9	10	-1	102114946
ENST00000425280.2	10	-1	102120285
ENST00000229633.7	6	1	125956770
ENST00000254719.10	17	1	1830005
ENST00000529006.7	11	1	67119263
ENST00000436473.5	X	1	154398367
ENST00000369817.7	X	1	154398377
ENST00000458500.5	X	1	154398378
ENST00000406022.6	X	1	154398890
ENST00000474879.7	22	-1	50507702
ENST00000322940.11	9	1	108934400
ENST00000322213.9	X	-1	53422654
ENST00000263657.7	2	1	68157888
ENST00000397762.6	14	-1	21476959
ENST00000299300.11	12	1	69585459
ENST00000373670.5	9	-1	122898110
ENST00000216455.9	14	1	58244843
ENST00000591416.5	18	-1	50281769
ENST00000438552.6	20	-1	2470853
ENST00000381342.7	20	-1	2470789
ENST00000373647.9	9	1	122941020
ENST00000317058.8	16	1	28553920
ENST00000284320.6	3	-1	100401089
ENST00000255977.7	7	-1	140479505
ENST00000373841.5	X	1	71283633
ENST00000276079.13	X	1	71283635
ENST00000311086.9	5	-1	173616650
ENST00000297151.9	5	-1	160419081
ENST00000409785.9	2	1	84971161
ENST00000453448.1	2	1	84972201
ENST00000431388.3	17	1	81239318
ENST00000374759.8	17	-1	81295307
ENST00000355264.9	10	-1	74150828
ENST00000233143.6	2	1	84905656
ENST00000308893.9	16	1	29973868
ENST00000279394.7	16	1	29974281
ENST00000285071.9	17	-1	17237168
ENST00000263309.7	11	-1	77637751
ENST00000525064.5	11	-1	77637772
ENST00000528364.1	11	-1	77637776
ENST00000311502.12	9	1	136807948
ENST00000311141.7	14	1	103715810
ENST00000250489.9	14	-1	20461434
ENST00000398020.6	14	-1	20461465
ENST00000268711.4	17	1	17477000
ENST00000253788.12	17	1	42998419
ENST00000589913.6	17	1	42998471
ENST00000216039.9	22	-1	38700667
ENST00000289382.8	2	1	101252886
ENST00000260270.3	11	1	110429948
ENST00000371649.5	9	-1	136866285
ENST00000224073.6	9	-1	136866308
ENST00000371648.4	9	-1	136866266
ENST00000216181.11	22	-1	36387967
ENST00000258455.8	2	1	105038069
ENST00000395811.9	17	1	17042760
ENST00000341712.8	17	1	17042849
ENST00000429184.7	17	1	17171720
ENST00000579361.1	17	1	17179558
ENST00000498107.5	7	1	141738358
ENST00000264258.8	2	1	101002289
ENST00000409028.8	2	1	101002283
ENST00000409320.7	2	1	101002293
ENST00000409733.5	2	1	101002293
ENST00000456292.5	2	1	101002691
ENST00000263025.9	16	-1	30123220
ENST00000186436.10	2	-1	97995948
ENST00000295317.4	2	-1	101308701
ENST00000297290.4	7	1	98281686
ENST00000296582.8	4	1	147617397
ENST00000250405.10	14	1	23306833
ENST00000305596.8	16	-1	30355308
ENST00000409939.8	16	-1	30370494
ENST00000302422.4	17	-1	7404097
ENST00000175091.5	2	-1	20051628
ENST00000439747.7	5	1	154941095
ENST00000347055.4	2	-1	88055783
ENST00000422840.7	16	-1	74607114
ENST00000373585.8	10	1	68901315
ENST00000256383.11	14	1	67360328
ENST00000540486.5	17	-1	7931999
ENST00000303731.9	17	-1	7931946
ENST00000266079.5	20	1	63981132
ENST00000344924.8	7	1	134646853
ENST00000216452.9	14	-1	67600268
ENST00000303961.9	19	1	40799191
ENST00000554659.6	14	-1	67674632
ENST00000554636.1	14	-1	67659791
ENST00000503362.2	4	1	176319966
ENST00000380817.8	22	-1	50475035
ENST00000252015.3	20	-1	35092807
ENST00000273480.4	3	1	141738298
ENST00000393000.3	3	1	141738297
ENST00000230050.4	6	1	132814569
ENST00000360003.7	10	-1	119872754
ENST00000369077.4	10	-1	119872843
ENST00000321301.7	9	-1	37592597
ENST00000371217.10	10	-1	95693927
ENST00000367089.8	6	-1	158644743
ENST00000574431.5	17	-1	9575837
ENST00000305105.3	7	1	101218165
ENST00000263239.7	2	1	117814691
ENST00000288266.8	3	1	57227729
ENST00000415930.8	19	1	34364740
ENST00000588991.7	19	1	34364793
ENST00000356487.11	19	1	34365196
ENST00000251343.9	14	1	24429286
ENST00000381249.4	2	-1	18560653
ENST00000422465.6	11	1	75399520
ENST00000527446.5	11	1	75399531
ENST00000526608.5	11	1	75399537
ENST00000527273.5	11	1	75399542
ENST00000524851.5	11	1	75399543
ENST00000341516.10	14	-1	69153119
ENST00000263245.10	22	-1	42857273
ENST00000322623.10	3	-1	128123812
ENST00000246548.9	19	1	34428381
ENST00000352397.10	22	-1	42649392
ENST00000407332.6	22	-1	42649335
ENST00000261797.7	5	1	150508131
ENST00000373768.4	9	-1	122159779
ENST00000605895.6	1	1	2391841
ENST00000488353.2	1	1	2394005
ENST00000378513.7	1	1	2391775
ENST00000377045.9	X	1	47561205
ENST00000377039.2	X	1	47561222
ENST00000416967.1	22	-1	36481634
ENST00000216185.7	22	-1	36481640
ENST00000418625.5	7	1	100088981
ENST00000371317.10	X	1	120604101
ENST00000216190.13	22	-1	36529166
ENST00000405442.5	22	-1	36528897
ENST00000371322.11	X	-1	120560962
ENST00000332896.8	12	1	93677375
ENST00000309318.8	11	-1	64246943
ENST00000265462.9	11	1	64318121
ENST00000412770.7	19	-1	55259017
ENST00000253329.3	6	-1	149546043
ENST00000339157.10	20	-1	25390835
ENST00000502717.6	5	1	150000739
ENST00000302243.12	16	1	70346903
ENST00000403825.8	7	1	112450460
ENST00000324684.8	17	-1	76354198
ENST00000217426.7	20	-1	34303355
ENST00000374050.4	9	1	114587769
ENST00000210313.8	9	-1	120842922
ENST00000361575.4	X	-1	119791630
ENST00000367419.10	6	1	149566375
ENST00000371442.4	X	-1	119871733
ENST00000371437.5	X	1	119871832
ENST00000262193.7	6	-1	170553307
ENST00000357156.7	20	1	34516422
ENST00000374864.10	20	1	34363273
ENST00000319380.12	17	-1	76453152
ENST00000263433.8	19	-1	55117637
ENST00000591938.5	19	-1	55094796
ENST00000592993.1	19	-1	55117413
ENST00000263228.4	9	1	33817160
ENST00000361264.9	9	-1	34126698
ENST00000254803.4	4	1	70688532
ENST00000439817.5	10	-1	101818465
ENST00000361464.8	10	-1	101818444
ENST00000338961.11	9	-1	128127729
ENST00000462683.6	X	1	68499051
ENST00000605997.6	14	-1	92121706
ENST00000216029.8	22	1	38656638
ENST00000366780.8	6	-1	169723931
ENST00000261772.13	16	-1	70289506
ENST00000261636.13	12	-1	101407772
ENST00000287844.7	7	-1	151227205
ENST00000330374.7	X	1	151397206
ENST00000369762.7	X	1	154428677
ENST00000396081.5	7	-1	35695135
ENST00000216373.10	14	-1	50231578
ENST00000435844.3	20	1	18567347
ENST00000411646.2	20	1	18567432
ENST00000356286.10	20	1	408299
ENST00000257663.4	7	-1	77798434
ENST00000367576.6	6	1	143843338
ENST00000458578.6	22	1	21549447
ENST00000342192.9	22	1	21567714
ENST00000221462.9	19	1	45093179
ENST00000164133.7	11	1	64924689
ENST00000265192.9	5	1	139341854
ENST00000464506.2	X	1	13689128
ENST00000243325.6	X	1	13689161
ENST00000438704.6	4	-1	173333672
ENST00000246747.9	11	1	65014160
ENST00000529384.5	11	1	65014180
ENST00000005257.7	7	1	39623572
ENST00000037243.7	16	1	75566379
ENST00000300086.5	16	1	75647773
ENST00000156109.7	X	-1	49123735
ENST00000237380.12	4	1	17614641
ENST00000290649.10	16	-1	56425545
ENST00000221265.8	19	-1	39391106
ENST00000356493.10	9	-1	35103131
ENST00000257013.9	X	1	135032355
ENST00000315588.11	19	1	39391378
ENST00000370775.3	X	-1	135052135
ENST00000302445.8	16	-1	75647665
ENST00000251453.8	19	-1	39435949
ENST00000601655.5	19	-1	39435941
ENST00000380527.3	9	1	19049427
ENST00000353703.9	20	1	44885705
ENST00000302787.3	4	-1	1856156
ENST00000369405.7	10	-1	112446914
ENST00000216832.9	14	1	39175254
ENST00000259632.12	9	-1	34620495
ENST00000373001.4	1	-1	38859772
ENST00000373218.5	10	1	70404145
ENST00000331244.10	10	1	130136391
ENST00000368644.5	10	1	130136399
ENST00000247866.9	7	1	140696708
ENST00000375436.9	1	-1	17439677
ENST00000216044.10	22	1	38705944
ENST00000373237.4	1	-1	35641526
ENST00000341162.8	14	1	74713144
ENST00000254730.11	3	1	128153481
ENST00000354618.10	1	1	36224443
ENST00000374466.4	10	1	43138445
ENST00000390658.4	19	-1	39540161
ENST00000368608.4	6	-1	116279930
ENST00000336452.11	17	1	7306999
ENST00000572815.5	17	1	7307582
ENST00000336458.13	17	1	7307628
ENST00000419711.6	17	1	7307974
ENST00000291295.14	19	1	46601330
ENST00000262077.3	6	-1	17706925
ENST00000319006.8	11	1	747464
ENST00000319863.13	11	-1	777487
ENST00000361906.8	22	-1	38273010
ENST00000262919.10	20	1	3471018
ENST00000405303.7	4	-1	16226471
ENST00000341864.6	X	-1	78139650
ENST00000357103.5	12	1	1691070
ENST00000430044.7	7	1	152025674
ENST00000380773.9	6	1	2765393
ENST00000380764.1	6	1	2768773
ENST00000292475.8	7	-1	99466167
ENST00000394186.3	7	-1	99466161
ENST00000373062.8	1	-1	37595937
ENST00000230859.8	5	1	6713432
ENST00000219345.10	16	1	68245373
ENST00000302165.5	19	-1	45886141
ENST00000323345.11	9	1	133348218
ENST00000315731.4	9	1	133348922
ENST00000304043.10	5	-1	131165256
ENST00000369842.9	X	1	154379295
ENST00000521580.3	1	-1	34859749
ENST00000456842.1	1	-1	34859755
ENST00000371974.8	9	-1	133356487
ENST00000308824.11	20	1	64255748
ENST00000294360.5	1	-1	53220634
ENST00000371964.5	9	1	133356550
ENST00000371989.8	9	-1	133376060
ENST00000333676.8	17	1	81703367
ENST00000374433.7	10	-1	43648881
ENST00000371942.8	9	-1	133418010
ENST00000307630.5	7	-1	76358991
ENST00000000412.8	12	-1	8949645
ENST00000299299.4	10	-1	70888565
ENST00000360864.9	20	1	63895126
ENST00000246802.10	19	1	47745546
ENST00000322028.5	11	-1	842529
ENST00000429789.6	11	-1	910835
ENST00000436108.6	11	-1	910831
ENST00000341285.8	4	-1	15655357
ENST00000513163.5	4	-1	15644649
ENST00000254810.8	17	-1	75779779
ENST00000591890.5	17	-1	75779759
ENST00000589599.5	17	-1	75779780
ENST00000237530.11	20	1	37179330
ENST00000373547.9	9	-1	125189803
ENST00000381192.10	X	1	2691295
ENST00000254806.8	17	-1	75855335
ENST00000375749.8	20	1	32207880
ENST00000294353.7	1	1	52726453
ENST00000309352.4	17	-1	75904884
ENST00000396821.8	22	-1	38506337
ENST00000379847.8	9	-1	32573159
ENST00000265866.12	10	1	68332064
ENST00000354695.5	10	1	68332122
ENST00000355673.8	12	1	57522824
ENST00000310331.3	5	1	140547662
ENST00000252102.9	5	-1	140647630
ENST00000334512.10	10	1	79068966
ENST00000394936.8	10	-1	71851251
ENST00000219789.11	16	-1	29863226
ENST00000569956.5	16	-1	29863205
ENST00000229563.6	6	1	10723070
ENST00000379542.10	6	1	10747805
ENST00000274712.8	5	1	140700447
ENST00000569545.5	16	1	30064185
ENST00000563060.6	16	1	30064274
ENST00000563987.5	16	1	30064739
ENST00000395240.7	16	1	30065777
ENST00000565355.1	16	1	30069578
ENST00000257904.11	12	-1	57752310
ENST00000425013.6	7	-1	5781696
ENST00000371470.8	1	-1	53238518
ENST00000371466.4	1	-1	53238499
ENST00000381519.5	11	1	1947278
ENST00000358372.8	6	1	159725585
ENST00000337387.4	6	1	159727588
ENST00000258963.7	17	-1	57982864
ENST00000295955.14	4	-1	39458922
ENST00000582730.6	17	-1	58007261
ENST00000321394.12	6	-1	159789602
ENST00000392168.6	6	-1	159789703
ENST00000579991.3	17	1	58083419
ENST00000397375.7	16	-1	1773134
ENST00000373537.7	20	-1	37527876
ENST00000512737.6	17	1	51166411
ENST00000393190.4	17	1	51166564
ENST00000409682.8	2	1	161308425
ENST00000358901.11	9	-1	35072625
ENST00000361804.5	10	1	110567695
ENST00000367034.5	6	1	159790467
ENST00000247970.9	19	1	9835318
ENST00000397353.6	16	-1	1826841
ENST00000493763.7	6	1	42879616
ENST00000304734.9	6	1	42879682
ENST00000260818.11	3	1	132417502
ENST00000246024.7	20	-1	8019761
ENST00000261813.9	5	-1	140303101
ENST00000510217.1	5	-1	140303113
ENST00000216225.9	22	1	40951378
ENST00000282999.7	5	1	112861305
ENST00000407422.8	22	1	23786931
ENST00000263121.12	22	1	23787011
ENST00000283027.10	16	1	10743842
ENST00000379638.9	5	-1	112922227
ENST00000054950.4	11	1	32091074
ENST00000369983.5	10	1	102245532
ENST00000244711.4	6	-1	43013946
ENST00000331808.5	16	-1	10942468
ENST00000244496.6	6	1	43021623
ENST00000307149.10	16	-1	23453189
ENST00000567212.5	16	1	23557721
ENST00000356244.8	22	-1	41286187
ENST00000007516.8	16	-1	23596316
ENST00000358075.11	X	-1	77895593
ENST00000291900.7	9	-1	128771927
ENST00000314133.4	11	1	63974620
ENST00000305218.9	11	1	64186171
ENST00000355683.9	14	-1	31026401
ENST00000371065.9	1	1	65420668
ENST00000361256.10	9	-1	128829794
ENST00000467582.1	9	-1	128824822
ENST00000392455.9	3	1	191329394
ENST00000314606.9	19	-1	12933711
ENST00000216277.13	14	1	96502382
ENST00000557320.5	14	1	96502401
ENST00000586534.6	19	1	12945862
ENST00000316856.7	19	1	12945876
ENST00000253039.9	X	1	24054956
ENST00000316939.3	19	-1	12957223
ENST00000330398.9	16	1	2513952
ENST00000558815.5	19	1	55385932
ENST00000344063.7	19	1	55385932
ENST00000560583.5	19	1	55385934
ENST00000560055.5	19	1	55385936
ENST00000559463.5	19	1	55385961
ENST00000558131.1	19	1	55386350
ENST00000216727.9	14	1	23321457
